"region","aegypti","LC10","logpop","MIR.max","nhps_combined","temp_suit_mean"
"BOL.1_1",0,0.394658895,5.81886688,0.6987,3,0
"BOL.2_1",1,0.438368134,6.302446264,1.1438,3,0
"BOL.3_1",1,0.101356583,5.701769919,1.0542,4,41.6376219
"BOL.4_1",1,0.280759644,6.490459503,0.9236,4,0
"BOL.5_1",0,0.200096549,5.751325123,0.9222,0,0
"BOL.6_1",1,0.008147751,5.087183164,0.7971,7,43.41523445
"BOL.7_1",0,0.201301905,5.966095426,0.7797,0,0
"BOL.8_1",1,0.038117378,6.477589742,0.9986,5,31.98505342
"BOL.9_1",1,0.172874378,5.677977189,0.8527,1,3.104553184
"BRA.1_1",1,0.025953922,5.886158427,1.0058,5,39.76077341
"BRA.10_1",1,0.083687775,6.857551826,1.0566,5,47.29886308
"BRA.11_1",1,0.506101673,6.430246656,1.1013,2,30.65996492
"BRA.12_1",1,0.236893371,6.525297853,1.1682,6,35.10833763
"BRA.13_1",1,0.413784647,7.335106207,0.9887,4,17.13563608
"BRA.14_1",1,0.032302279,6.921317645,1.0874,3,45.90889843
"BRA.15_1",1,0.787267034,6.616927653,1.023,1,37.38424962
"BRA.16_1",1,0.120712006,7.060617611,1.291,1,5.126094147
"BRA.17_1",1,0.647541866,6.9856196,0.8836,1,32.91527528
"BRA.18_1",1,0.162046068,6.534958052,0.9527,1,45.73129947
"BRA.19_1",1,0.261063838,7.243739544,0.9372,1,20.01304123
"BRA.2_1",1,0.509959826,6.532610845,0.8976,2,37.79361818
"BRA.20_1",1,0.837141649,6.543450407,0.9403,1,45.55655638
"BRA.21_1",1,0.180782253,7.070337654,0.7709,1,9.983187317
"BRA.22_1",1,0.066064343,6.23379063,1.0804,4,39.37503648
"BRA.23_1",1,0.169463432,5.696020602,0.9362,5,46.33702899
"BRA.24_1",1,0.011480869,6.833545676,0.9306,1,0.361657024
"BRA.25_1",1,0.381278217,7.656760683,1.1324,1,11.73104518
"BRA.26_1",1,0.565066529,6.357525871,0.7644,1,38.65890267
"BRA.27_1",1,0.249571904,6.183512523,1.188,3,45.34704456
"BRA.3_1",1,0.036177177,5.860423595,1.0142,3,48.21681444
"BRA.4_1",1,0.00554186,6.587550028,1.0145,11,46.14990035
"BRA.5_1",1,0.426125248,7.185663161,1.0206,2,29.78416098
"BRA.6_1",1,0.46520312,6.968548339,1.0194,1,45.41935397
"BRA.7_1",1,0.676719238,6.430814524,0.7404,1,16.49931782
"BRA.8_1",1,0.278841194,6.579688293,0.8229,3,28.8103719
"BRA.9_1",1,0.552794052,6.82103792,1.0182,1,31.98210818
"CAF.1_1",0,0.098631415,4.767301513,1.0222,6,46.76823082
"CAF.10_1",0,0.000172741,5.113205276,0.8067,4,31.56617861
"CAF.11_1",0,0.000368466,5.437001388,0.9396,5,37.43645365
"CAF.12_1",1,0.000655852,5.976748857,0.9644,7,42.06929402
"CAF.13_1",0,6.47e-05,5.521027134,0.9761,5,35.49058972
"CAF.14_1",0,0.00427899,5.67990638,0.7355,4,38.19874155
"CAF.15_1",0,0.001829376,5.619732699,0.8487,4,40.89525908
"CAF.16_1",0,0.009811599,5.122893601,0.5581,8,37.98278434
"CAF.17_1",0,0.779580222,4.751233548,0.7819,3,43.32793757
"CAF.2_1",1,0.081018519,5.474804486,0.4128,9,44.70281365
"CAF.3_1",1,0.001178887,5.472401689,0.8025,7,37.23365508
"CAF.4_1",0,0.000233631,4.74292236,0.9239,6,41.32655807
"CAF.5_1",0,1.97e-05,5.004984334,0.9622,5,36.28067429
"CAF.6_1",1,3.86e-05,5.155742441,0.9666,6,37.76418579
"CAF.7_1",0,0.000726108,5.503220175,0.8973,9,37.24099938
"CAF.8_1",0,0.001129594,5.6303163,0.7908,9,38.40051461
"CAF.9_1",0,0.001174656,5.301613661,0.986,7,38.97652008
"CMR.10_1",1,0.000352456,5.928098272,0.6175,10,36.71887457
"CMR.2_1",1,0.003320337,6.67415164,0.9403,13,41.34208301
"CMR.3_1",1,0.000727865,5.976550112,0.8961,10,35.02056271
"CMR.4_1",1,0.071739077,6.660745666,1.0284,3,50.81865822
"CMR.5_1",1,0.00391551,6.579750862,0.6639,13,45.87162107
"CMR.7_1",1,0.126387703,6.443606425,1.0604,4,45.05360452
"CMR.9_1",1,0.005201927,6.244337543,0.8675,8,42.51357388
"COD.1_1",0,0.000373171,6.148214393,0.9099,13,42.04391095
"COD.12_1",0,0.039211152,6.375892569,1.1118,7,23.08136751
"COD.13_1",0,0.104959985,6.772515366,1.0103,7,34.39976903
"COD.14_1",0,0.172723268,6.401876077,1.0187,4,34.98563119
"COD.15_1",0,0.005827582,6.202433085,1.0431,5,20.77959449
"COD.16_1",0,0.00831793,6.321579592,0.9692,12,41.02063828
"COD.17_1",0,0.016086791,6.395804365,1.0279,13,37.0845772
"COD.18_1",0,0.001201594,6.297403555,0.8905,15,43.69736495
"COD.19_1",0,0.039220541,6.865647248,1.0228,12,21.76443101
"COD.2_1",0,0.004085207,6.220444035,0.9413,14,44.42997034
"COD.20_1",0,0.003966505,6.134231888,1.0002,10,39.70309259
"COD.21_1",0,0.043908399,6.321163842,0.7673,11,38.88948124
"COD.22_1",0,0.029908363,6.735695055,0.8757,11,19.36317928
"COD.23_1",0,0.003396672,6.4398192,0.952,11,42.82254712
"COD.24_1",0,0.009067059,6.282428206,1.0356,9,28.81992334
"COD.25_1",0,0.000171581,6.463824792,0.9267,20,41.08585397
"COD.26_1",0,0,6.247151375,0.7964,6,41.16635837
"COD.3_1",0,0.016160571,6.459114948,1.0076,3,13.15257644
"COD.4_1",0,0.019092065,6.262438822,1.1207,5,28.9238849
"COD.5_1",0,0.001054665,6.363244178,0.9078,12,41.27786071
"COD.6_1",0,0.016816011,6.653972739,0.8637,14,33.80945733
"COD.8_1",0,0.482932312,6.480445282,1.0008,4,38.66963163
"COG.10_1",0,0,5.860613085,0.5229,2,37.93281148
"COG.5_1",0,0.013491311,5.617183567,1.0164,4,38.27001627
"COL.1_1",1,0.000335843,4.89617122,0.8627,4,45.26840194
"COL.10_1",0,0.012850912,6.155877935,0.6822,2,11.53840564
"COL.11_1",0,0.21411105,6.026384122,0.9726,3,43.08988384
"COL.12_1",1,0.008535051,5.613970388,0.8002,1,44.81529816
"COL.13_1",0,0.02986038,6.235536668,0.883,3,48.85403889
"COL.14_1",1,0.120166179,7.045590465,0.673,5,0.830444289
"COL.15_1",0,0.007036835,4.436153365,0.8285,4,49.31447877
"COL.16_1",1,0.010286864,5.018241102,0.7996,5,50.040242
"COL.17_1",0,0.050533479,6.082640406,0.6301,4,7.835162753
"COL.18_1",1,0.482539872,5.983846577,0.7507,2,46.48930563
"COL.19_1",0,0.138666693,6.075953974,0.9363,2,43.20440205
"COL.2_1",1,0.027373439,6.821475246,0.7514,4,30.80050321
"COL.20_1",1,0.100323536,6.000649956,1.0689,6,46.62458836
"COL.21_1",0,0.015337259,6.246342384,0.8977,1,18.2709226
"COL.22_1",0,0.05259497,6.161582174,0.6415,3,15.46712008
"COL.23_1",1,0.014021155,5.532794605,0.8088,4,38.37147078
"COL.24_1",1,0.019071914,5.774714336,0.6145,1,2.501255862
"COL.25_1",0,0.026618174,6.001193034,0.5802,2,7.437639619
"COL.27_1",1,0.07815172,6.335731726,0.9304,3,27.11486928
"COL.28_1",0,0.326486866,5.939181357,0.7909,2,50.88175083
"COL.29_1",1,0.091723145,6.159476065,0.6066,4,13.74062812
"COL.3_1",0,0.042605823,5.446320481,0.8881,4,45.28103054
"COL.30_1",1,0.046151907,6.671777793,0.7265,2,21.81010703
"COL.31_1",0,0.002887365,4.661980938,0.7368,4,46.05412929
"COL.32_1",0,0.144438429,4.951841638,1.0352,3,51.90653452
"COL.4_1",1,0.171152388,6.415907349,0.8057,2,50.44659531
"COL.5_1",1,0.124444192,6.308831342,0.9112,2,48.85405763
"COL.6_1",0,0.21016943,6.142515925,0.6108,4,0
"COL.7_1",0,0.010225352,5.99579837,0.5795,4,11.85270776
"COL.8_1",1,0.012681761,5.704627227,0.9436,4,43.52740122
"COL.9_1",0,0.041675399,5.57085338,0.8198,3,49.70088354
"ECU.1_1",0,0.214173722,5.933655817,0.6352,2,0
"ECU.10_1",0,0.103245912,6.63188077,0.941,1,41.66380701
"ECU.11_1",0,0.173806117,5.677347284,0.6149,0,0
"ECU.12_1",0,0.155519105,5.715025758,0.6403,1,11.02070431
"ECU.13_1",0,0.037015276,5.957361623,0.8136,1,40.55402868
"ECU.14_1",0,0.068145002,6.200014696,0.9872,1,37.93798107
"ECU.15_1",0,0.019299868,5.268759299,0.6261,5,19.48139961
"ECU.16_1",0,0.073359732,5.093665413,0.6335,4,0
"ECU.17_1",0,0.003622758,5.196228753,0.8474,3,40.64460076
"ECU.18_1",0,0.000477403,5.026694085,0.7323,4,38.95680637
"ECU.19_1",0,0.118701945,6.49269955,0.7675,1,0
"ECU.2_1",0,0.05191886,5.31829956,0.647,0,0
"ECU.20_1",0,0.54678464,5.569256506,0.6542,1,37.78671019
"ECU.21_1",0,0.004236331,5.692475222,0.8622,1,27.76280518
"ECU.22_1",0,0.010126763,5.334130971,0.9083,3,32.66546577
"ECU.23_1",0,0.141197272,5.767286265,0.7906,1,0
"ECU.24_1",0,0.032167408,5.055827997,0.6219,2,7.132161128
"ECU.3_1",0,0.135789745,5.445087416,0.7143,0,0
"ECU.4_1",0,0.112968713,5.270259403,0.5803,1,0
"ECU.5_1",0,0.170556495,5.722388071,0.6349,1,0
