"region","aegypti","LC10","logpop","MIR.max","nhps_combined","temp_suit_mean"
"ECU.6_1",0,0.16933361,5.682932603,0.6212,0,0
"ECU.7_1",0,0.065439895,5.849510693,0.7673,1,28.98418099
"ECU.8_1",0,0.011949175,5.759519608,0.7695,1,38.38240618
"ECU.9_1",0,0.287378433,4.478960431,0.8927,0,32.71096718
"ETH.10_1",0,0.388062638,7.346493728,0.9691,8,24.59508185
"ETH.3_1",0,0.372376915,7.393962071,0.8893,6,11.73931771
"ETH.4_1",0,0.110493092,6.085355562,0.9807,4,41.47408539
"ETH.6_1",0,0.078749136,5.691888511,0.9796,6,49.25487311
"ETH.8_1",0,0.44313833,7.61225281,0.915,8,14.45048806
"ETH.9_1",0,0.386327464,6.818299143,0.7176,5,43.18001457
"KEN.1_1",1,0.543584489,5.842616928,0.575,5,21.78083804
"KEN.10_1",0,0.985533419,5.957648288,0.6304,6,22.45060242
"KEN.11_1",1,8.76e-05,6.280048367,0.5809,6,20.20337408
"KEN.12_1",0,0.036935591,5.996215441,0.5924,8,4.512084843
"KEN.18_1",0,0.980819364,6.129519229,0.6883,3,37.73102562
"KEN.2_1",0,0.277937996,5.988007328,0.601,5,1.400224172
"KEN.20_1",0,0.924766858,5.727756293,0.5898,6,3.88e-06
"KEN.22_1",0,0.981486716,6.160127204,0.6573,4,17.9023876
"KEN.23_1",0,0.955577003,6.082755811,0.6154,4,27.57153137
"KEN.24_1",0,0.688346076,6.128156835,0.6333,2,50.50718926
"KEN.25_1",0,0.621159804,5.564107533,0.6916,3,48.29864775
"KEN.26_1",0,0.613005745,6.259310442,0.6116,4,13.60729938
"KEN.3_1",0,0.104216579,6.326402253,0.5873,7,9.226353193
"KEN.30_1",1,0.582934132,6.629115738,0.5983,5,9.830096094
"KEN.31_1",0,0.566993837,6.332467245,0.6207,7,0
"KEN.32_1",0,0.015959048,6.003568053,0.5963,6,5.687152375
"KEN.33_1",0,0.740689344,6.063841505,0.5844,5,0.682450777
"KEN.37_1",0,0.87956465,5.469594964,0.6027,3,24.59373772
"KEN.4_1",1,0.006993836,5.998361406,0.4987,6,28.57721963
"KEN.41_1",0,0.558975642,5.672263585,0.8073,4,24.68058291
"KEN.42_1",1,0.237967452,6.044542257,0.5728,8,3.065705212
"KEN.43_1",0,0.565672291,6.052106751,0.6181,4,50.05224225
"KEN.44_1",0,0.566379955,6.089169051,0.5511,6,0
"KEN.45_1",0,0,5.870771435,0.5417,6,17.76525351
"KEN.46_1",0,0.806238306,5.941477287,0.7967,3,51.82614647
"KEN.47_1",0,0.792408306,5.849711681,0.569,4,20.63533154
"KEN.5_1",0,0.205022831,5.645540384,0.5787,6,1.678278339
"KEN.6_1",0,0.690429392,5.838097502,0.6056,5,20.37142061
"KEN.7_1",0,0.791811965,5.907751688,0.6744,3,51.21843784
"KEN.9_1",0,0.631660783,5.29414826,0.5831,4,46.38294827
"NGA.31_1",1,0.002656617,6.87072108,0.7458,6,49.10291458
"PER.1_1",0,0.052059804,5.643767005,0.6958,6,19.22725012
"PER.10_1",0,0.36311893,5.950337852,0.8055,5,0
"PER.11_1",0,0.101717991,5.919014207,0.6115,0,0.2694331
"PER.12_1",0,0.409696156,6.155023234,0.8229,3,0
"PER.13_1",1,0.604876252,6.276420606,0.6615,0,0
"PER.14_1",1,0.432526673,6.115120151,0.6481,0,27.596737
"PER.15_1",1,0.045151797,6.945465922,0.5674,0,9.205327974
"PER.16_1",1,0.618645715,5.99203034,0.7152,0,0
"PER.17_1",1,0.003515357,6.017743025,0.9236,7,45.07875547
"PER.18_1",1,0.009931493,5.102067713,0.8573,7,35.583459
"PER.19_1",0,0.172308892,5.273564454,0.7066,0,0
"PER.2_1",0,0.678424553,6.094289418,0.8391,0,0
"PER.20_1",0,0.27140901,5.51492326,0.8818,5,0
"PER.21_1",1,0.41708364,6.290276911,0.8083,0,25.04117717
"PER.22_1",0,0.650739509,6.170972939,0.7923,4,0
"PER.23_1",1,0.052775484,5.929726896,0.9105,6,21.70052058
"PER.24_1",0,0.055777247,5.528648267,0.6694,0,0
"PER.25_1",1,0.60964509,5.369571509,0.6194,1,36.64302995
"PER.26_1",1,0.01058841,5.703671382,0.8621,7,41.78011897
"PER.3_1",0,0.959268504,5.675248449,0.6264,0,0
"PER.4_1",0,0.304481215,6.129306779,0.8507,0,0
"PER.5_1",0,0.731479717,5.867206517,0.6684,0,0
"PER.6_1",1,0.474927701,6.210483376,0.6317,0,0
"PER.7_1",0,0.037433155,6.014097114,0.5406,0,15.31730119
"PER.8_1",1,0.448907255,6.136694653,0.6457,5,0
"PER.9_1",0,0.889964158,5.726301912,0.6795,0,0
"RWA.1_1",0,0.089374836,6.308216,0.7703,6,0.017616173
"RWA.3_1",0,0.586498556,6.482227,0.8568,4,17.00083985
"RWA.4_1",0,0.03092182,6.460748,0.7415,8,1.581700118
"RWA.5_1",0,0.228209658,6.120744,0.5854,4,15.99395466
"SDN.1_1",0,0.704703595,6.688523,0.5816,3,50.98167939
"SDN.10_1",0,0.003275116,5.975138,0.9289,0,41.62984724
"SDN.11_1",1,0.005930555,6.272175,0.7499,0,45.71922127
"SDN.12_1",0,0.015965459,6.180898,0.8156,1,49.99222281
"SDN.13_1",0,0.685012097,6.233662,0.6649,3,51.83150961
"SDN.18_1",0,0.840521011,6.354979,0.8168,3,51.21689616
"SDN.2_1",0,0.664829718,6.287761,0.9534,3,52.2164351
"SDN.3_1",0,0.678734929,6.047999,0.8958,3,51.73755834
"SDN.6_1",0,0.350787963,6.366317,0.6347,1,51.85486656
"SDN.7_1",0,0.107824836,6.854415,0.7194,2,50.77297537
"SSD.1_1",0,0.233277445,6.185226,0.9368,6,49.4149737
"SSD.10_1",0,0.001195928,5.910838,1.0421,6,46.16532869
"SSD.2_1",0,0.757940419,6.071014,0.8932,8,49.69261977
"SSD.3_1",0,0.476263278,6.230662,0.9439,3,51.55833023
"SSD.4_1",0,0.160112971,5.958423,0.8454,4,49.80954378
"SSD.5_1",0,0.757771511,6.040547,1.0171,3,49.1026679
"SSD.6_1",0,0.550225773,5.934695,0.8585,3,50.66579009
"SSD.7_1",0,0.682506677,6.14304,1.1008,3,52.33992237
"SSD.8_1",0,0.704345311,6.089902,1.0075,4,50.88004153
"SSD.9_1",0,0.267527374,5.421829,0.9925,5,44.26936571
"TCD.11_1",0,0.532602437,5.921994,0.5995,4,48.11679204
"TCD.16_1",0,0.787531289,5.917301,0.9638,4,49.89299388
"TCD.17_1",0,0.903238657,6.004595,0.734,3,49.80229021
"TCD.18_1",0,0.785626376,5.629271,1.0229,3,49.10483201
"TCD.19_1",0,0.645604653,5.616568,0.8792,3,47.35990913
"TCD.21_1",0,2.37e-05,4.447516,0.8729,1,25.17175007
"TCD.3_1",0,0.000240788,5.140394,0.9047,1,44.44737812
"TCD.5_1",0,0.001755356,4.526122,0.93,0,36.01096966
"TCD.6_1",0,0.000899721,4.884653,1.0209,0,43.66420638
"UGA.12_1",0,0.010492923,5.869787,0.709,6,0
"UGA.16_1",0,0.005952381,6.2784,0.5016,4,24.70395541
"UGA.17_1",0,0.00788534,6.066627,0.83,3,36.04183574
"UGA.2_1",0,0.001177702,6.080699,0.7202,3,38.32438218
"UGA.22_1",0,0.133653683,5.723542,0.8745,5,39.40491161
"UGA.38_1",0,0.04328125,6.101663,0.6066,7,20.40016049
"UGA.39_1",0,0.519220923,6.270554,0.7299,5,15.9226606
"UGA.40_1",0,0.820099568,5.545891,0.8396,4,33.80034324
"UGA.6_1",0,0.012233937,6.085409,0.8621,5,17.84333951
"VEN.1_1",0,0.020846636,5.188276,0.8475,4,44.8506869
"VEN.10_1",0,0.64875,3.337945,0.5446,0,50.41046148
"VEN.11_1",1,0.020356234,6.346785,0.601,0,9.155483565
"VEN.12_1",1,0.35453562,5.972049,0.8814,0,44.35111385
"VEN.13_1",1,0.551947685,5.984554,0.9576,0,49.42773458
"VEN.14_1",1,0.402763053,6.295483,0.777,0,28.88120924
"VEN.15_1",1,0.126341608,5.958974,0.6037,2,0
"VEN.16_1",1,0.054000392,6.431636,0.5941,0,38.64050224
"VEN.17_1",1,0.438408425,6.116166,0.9872,0,45.57474758
"VEN.18_1",1,0.553005686,5.705901,0.4881,1,48.99800303
"VEN.19_1",1,0.096024624,5.982872,0.8354,0,49.3582096
"VEN.2_1",1,0.563966253,6.300248,0.8882,0,48.32856206
"VEN.20_1",1,0.073367048,5.969076,0.7301,0,38.02385763
"VEN.21_1",1,0.046587875,6.099465,0.8397,2,24.76668283
"VEN.22_1",1,0.100151231,5.859816,0.5831,2,21.01386939
"VEN.23_1",1,0.016014975,5.545579,0.5819,0,24.15923518
"VEN.24_1",0,0.109505806,5.766641,0.8287,0,35.1566707
"VEN.25_1",1,0.239666961,6.586548,0.8439,2,47.43686328
"VEN.3_1",1,0.299418504,5.527834,0.9974,0,51.85931443
"VEN.4_1",1,0.112926652,6.132081,0.9471,0,31.3765117
"VEN.5_1",1,0.104268948,5.958072,0.9066,0,49.86376412
"VEN.6_1",1,0.149612074,5.856503,0.9387,1,41.9410043
"VEN.7_1",1,0.153004744,6.435921,0.8702,0,33.10926145
"VEN.8_1",1,0.118966521,5.524521,0.9273,0,48.79706154
"VEN.9_1",0,0.031266469,5.195591,0.5781,0,45.7635232
"ZMB.6_1",0,0.095167908,6.013124,1.051,5,19.91918648
"ZMB.7_1",1,0.102699337,5.970402,1.1517,4,9.151150784
"ZMB.8_1",0,0.024559871,6.174312,0.95,4,18.16152407
