region,year,cases,deaths
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2010,0,0
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2011,0,0
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2012,0,0
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2013,0,0
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2014,0,0
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2015,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1990,12,6
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1991,14,9
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1992,16,13
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1993,1,1
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1994,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1995,1,1
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1997,31,4
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1998,4,4
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",1999,3,1
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2000,2,1
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2001,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2002,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2003,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2004,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2005,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2006,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2007,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2008,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2009,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2010,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2011,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2012,1,1
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2013,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2014,0,0
"ECU.1_1,ECU.10_1,ECU.11_1,ECU.12_1,ECU.13_1,ECU.14_1,ECU.15_1,ECU.16_1,ECU.17_1,ECU.18_1,ECU.19_1,ECU.2_1,ECU.20_1,ECU.21_1,ECU.22_1,ECU.23_1,ECU.24_1,ECU.3_1,ECU.4_1,ECU.5_1,ECU.6_1,ECU.7_1,ECU.8_1,ECU.9_1",2015,0,0
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1990,17,17
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1991,27,15
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1992,67,40
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1993,89,47
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1994,61,25
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1995,499,192
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1997,44,20
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1998,165,49
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",1999,58,34
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2000,6,3
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2001,29,19
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2002,52,30
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2003,25,15
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2004,68,36
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2005,66,21
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2006,63,34
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2007,23,18
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2008,15,8
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2009,8,5
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2010,18,14
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2011,13,6
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2012,15,8
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2013,22,14
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2014,12,12
"PER.1_1,PER.10_1,PER.11_1,PER.12_1,PER.13_1,PER.14_1,PER.15_1,PER.16_1,PER.17_1,PER.18_1,PER.19_1,PER.2_1,PER.20_1,PER.21_1,PER.22_1,PER.23_1,PER.24_1,PER.25_1,PER.26_1,PER.3_1,PER.4_1,PER.5_1,PER.6_1,PER.7_1,PER.8_1,PER.9_1",2015,15,4
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1990,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1991,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1992,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1993,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1994,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1995,2,1
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1997,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1998,15,4
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",1999,1,1
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",2000,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",2001,0,0
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",2002,3,2
"VEN.1_1,VEN.10_1,VEN.11_1,VEN.12_1,VEN.13_1,VEN.14_1,VEN.15_1,VEN.16_1,VEN.17_1,VEN.18_1,VEN.19_1,VEN.2_1,VEN.20_1,VEN.21_1,VEN.22_1,VEN.23_1,VEN.24_1,VEN.25_1,VEN.3_1,VEN.4_1,VEN.5_1,VEN.6_1,VEN.7_1,VEN.8_1,VEN.9_1",2003,34,14
