"region","aegypti","LC10","logpop","MIR.max","nhps_combined","temp_suit_mean"
"AGO.1_1",0,0.353161449,5.6370916,1.0476,5,37.02808011
"AGO.10_1",0,0.458947607,6.477614745,0.945,2,7.918125128
"AGO.11_1",0,0.830887431,6.916207865,0.7389,4,35.95750082
"AGO.12_1",0,0.008309033,6.021931533,1.0613,7,24.19670234
"AGO.13_1",0,0.042666523,5.810364882,1.0977,4,19.84164094
"AGO.14_1",0,0.020540563,6.068084524,1.0778,5,16.14194103
"AGO.15_1",0,0.218824358,5.957572713,0.9332,4,7.831897539
"AGO.16_1",0,0.56919151,5.776394563,0.793,3,16.44290284
"AGO.17_1",0,0.016338015,6.248613006,1.0311,5,22.83752636
"AGO.18_1",0,0.148677826,5.846600986,0.9585,6,39.41879515
"AGO.2_1",0,0.569034768,6.425945769,1.0863,4,17.0616274
"AGO.3_1",0,0.170140741,6.242372994,0.9933,4,5.650091807
"AGO.4_1",0,0.031166788,5.927472137,0.673,3,36.55213412
"AGO.5_1",0,0.732702866,5.798883115,0.9594,3,10.41053198
"AGO.6_1",0,0.055774208,5.72591628,1.1263,6,23.80724048
"AGO.7_1",0,0.158178778,6.352435685,0.9511,5,14.5502681
"AGO.8_1",0,0.765412343,6.075258232,1.0924,2,16.77085076
"AGO.9_1",0,0.468436697,6.383505835,0.7486,2,4.768263572
"ARG.1_1",1,0.518666997,7.230943409,1.162,0,0
"ARG.10_1",1,0.099910494,5.88287062,0.7143,0,0
"ARG.11_1",0,0.622492933,5.542914842,0.8828,0,0
"ARG.12_1",1,0.155835414,5.577795548,0.8299,0,0
"ARG.13_1",0,0.468529957,6.287019342,0.9173,0,0
"ARG.14_1",1,0.001447963,6.098898414,1.0387,1,13.08705658
"ARG.15_1",1,0.293606301,5.806181054,0.8927,0,0
"ARG.16_1",0,0.360180544,5.857026421,0.9583,0,0
"ARG.17_1",1,0.099785882,6.159517894,1.2081,0,0
"ARG.18_1",0,0.168845098,5.88005156,0.8442,0,0
"ARG.19_1",0,0.549397619,5.69267877,0.877,0,0
"ARG.2_1",0,0.104837203,5.602836527,1.0471,0,0
"ARG.20_1",0,0.492292192,5.524588384,1.6,0,0
"ARG.21_1",1,0.346874359,6.543066278,1.4835,0,11.65669951
"ARG.22_1",1,0.305993866,5.984883511,1.2663,0,17.70566769
"ARG.23_1",0,0.301271726,5.195524991,1.394,0,0
"ARG.24_1",1,0.146395939,6.213086559,1.1348,0,0
"ARG.3_1",1,0.099900531,6.068486517,0.8074,0,23.4463828
"ARG.4_1",0,0.26432014,5.762714968,0.9012,0,0
"ARG.5_1",1,0.003311258,6.499385181,0.6243,0,1.471734058
"ARG.6_1",1,0.251476843,6.563189264,1.4291,0,2.43e-06
"ARG.7_1",0,0.15190547,6.040459995,1.3646,0,21.16392531
"ARG.8_1",1,0.316749407,6.130998501,1.594,0,10.35532562
"ARG.9_1",1,0.018105778,5.782143018,0.9533,1,26.67745426
"BDI.1_1",0,0.0109135,5.676006763,0.5889,5,28.48121891
"BDI.10_1",0,0.074060694,5.947390682,0.846,3,17.49387632
"BDI.11_1",0,0.088107928,5.775161365,0.7171,5,17.92553887
"BDI.12_1",0,0.076353093,5.611933885,0.5838,4,1.882465834
"BDI.13_1",0,0.057122371,5.940964126,0.6441,3,13.05837392
"BDI.14_1",0,0.188659794,5.568882622,0.6349,3,0
"BDI.15_1",0,0.034996957,5.963593011,0.5946,3,13.13906032
"BDI.16_1",0,0.282146161,5.662756725,0.5908,3,8.778838932
"BDI.17_1",0,0.211406844,5.746085147,0.5961,2,11.64851623
"BDI.2_1",0,0.03987069,5.83786625,0.5378,6,39.65604281
"BDI.3_1",0,0.024299835,5.889307402,0.6035,6,18.57370322
"BDI.4_1",0,0.102990033,5.901641864,0.6043,4,9.274521625
"BDI.5_1",0,0.150406504,5.50292091,0.6119,2,12.02704256
"BDI.6_1",0,0.002194185,5.809021359,0.6201,7,18.85355551
"BDI.7_1",0,0.349301172,5.997241711,0.6384,3,1.776266019
"BDI.8_1",0,0.120710415,5.77377519,0.6125,3,8.641152234
"BDI.9_1",0,0.056236482,5.913159774,0.5971,4,7.713673952
"BEN.1_1",0,0.527274455,5.99836336,1.0479,3,50.79814559
"BEN.10_1",0,0.043233083,6.097124434,0.6833,7,51.16870993
"BEN.11_1",0,0.434705418,5.87212617,0.7628,7,51.73435177
"BEN.12_1",0,0.090253749,5.989164348,0.5898,7,52.13208824
"BEN.2_1",0,0.341853649,5.950292041,0.8907,3,51.43812499
"BEN.3_1",0,0.02074115,6.197358431,0.7902,7,50.93844486
"BEN.4_1",0,0.165560829,6.145886847,1.0273,5,49.04014602
"BEN.5_1",0,0.239805941,5.919291593,0.6665,6,51.85185924
"BEN.6_1",0,0.052101035,5.795149476,0.8908,6,50.02715526
"BEN.7_1",0,0.000769494,5.931927055,0.5595,7,51.63062585
"BEN.8_1",0,0,5.903040091,0.3854,6,49.81077017
"BEN.9_1",0,0.07288865,5.734268896,0.8082,6,51.41242428
"BFA.1_1",0,0.983693681,6.295031587,0.8723,3,51.05456062
